gstreamer0.10-ugly-plugins 0.10.19-16
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-2
gtk-update-icon-cache 3.20.3-1
gtk-vnc 0.5.4-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.30-1
gtk2-perl 1.2498-1
gtk3 3.20.3-1
gtkglarea 2.1.0-1
gtkglext 1.2.0-10
gtkimageview 1.6.4-4
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtksourceview2 2.10.5-3
gtksourceview3 3.20.1-1
gtkspell 2.0.16-3
gtkspell3 3.0.8-1
gts 0.7.6-3
gucharmap 8.0.0-1
guile 2.0.11-3
guile1.8 1.8.8-4
gupnp 0.20.16-1
gupnp-av 0.12.8-1
gupnp-dlna 0.10.4-1
gutenprint 5.2.11-3
gvfs 1.28.1-1
gvfs-afc 1.28.1-1
gvfs-goa 1.28.1-1
gvfs-google 1.28.1-1
gvfs-gphoto2 1.28.1-1
gvfs-mtp 1.28.1-1
gvfs-nfs 1.28.1-1
gvfs-smb 1.28.1-1
gwenview 16.04.0-1
gzip 1.7-1
hardening-wrapper 10-1
harfbuzz 1.2.6-1
harfbuzz-icu 1.2.6-1
hdf5 1.8.15_patch1-1
hexchat 2.12.0-1
hicolor-icon-theme 0.15-1
hitori 3.20.0-1
hspell 1.3-1
htdig 3.2.0b6-11
http-parser 2.7.0-1
hunspell 1.3.4-1
hwids 20160306-1
hwloc 1.11.2-2
hyphen 2.8.8-1
iagno 3.20.1-1
iana-etc 20160314-1
iasl 20160212-1
icedtea-web 1.6.2-1
icon-naming-utils 0.8.90-3
icu 57.1-1
idnkit 1.0-3
igraph 0.7.1-5
ilmbase 2.2.0-2
imagemagick 6.9.3.8-1
imake 1.0.7-1
iml 1.0.5-1
imlib 1.9.15-15
imlib2 1.4.8-1
incidenceeditor 16.04.0-1
inetutils 1.9.4-2
iniparser 4.0-2
inkscape 0.91-17
inputproto 2.3.2-1
intel-tbb 4.4_20160128-1
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
ipython 4.2.0-2
ipython2 4.2.0-2
ipython2-notebook 4.1.0-4
iso-codes 3.67-1
itstool 2.0.2-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
java-environment-common 2-2
java-runtime-common 2-2
jdk7-openjdk 7.u99_2.6.5-1
jemalloc 4.1.0-1
jfsutils 1.1.15-4
joe 4.0-2
jre7-openjdk 7.u99_2.6.5-1
jre7-openjdk-headless 7.u99_2.6.5-1
jre8-openjdk 8.u92-1
jre8-openjdk-headless 8.u92-1
js 24.2.0-3
js17 17.0.0-3
jshon 20131105-1
json-c 0.12-2
json-glib 1.2.0-1
jsoncpp 1.7.2-1
julia 2:0.4.5-1
jupyter 4.1.0-4
kaccounts-integration 16.04.0-1
kaccounts-providers 16.04.0-1
kactivities 5.21.0-1
kactivitymanagerd 5.6.3-1
kaddressbook 16.04.0-2
kalarm 16.04.0-2
kalarmcal 16.04.0-1
kalgebra 16.04.0-1
kamera 16.04.0-1
kanagram 16.04.0-1
kapman 16.04.0-1
kapptemplate 16.04.0-1
karchive 5.21.0-1
kate 16.04.0-1
katepart4 4.14.3-4
katomic 16.04.0-1
kauth 5.21.0-1
kbd 2.0.3-1
kblackbox 16.04.0-1
kblocks 16.04.0-1
kblog 16.04.0-1
kbookmarks 5.21.0-1
kbounce 16.04.0-1
kbproto 1.0.7-1
kbreakout 16.04.0-1
kbruch 16.04.0-1
kcalc 16.04.0-1
kcalcore 16.04.0-1
kcalutils 16.04.0-2
kcharselect 16.04.0-1
kcmutils 5.21.0-1
kcodecs 5.21.0-1
kcolorchooser 16.04.0-1
kcompletion 5.21.0-1
kconfig 5.21.0-1
kconfigwidgets 5.21.0-1
kcontacts 16.04.0-1
kcoreaddons 5.21.0-1
kcrash 5.21.0-1
kcron 16.04.0-1
kdbusaddons 5.21.0-1
kde-applications-meta 16.04-1
kde-cli-tools 5.6.3-1
kde-dev-scripts 16.04.0-1
kde-gtk-config 5.6.3-1
kde-meta-kdeaccessibility 16.04-1
kde-meta-kdeadmin 16.04-1
kde-meta-kdebase 16.04-1
kde-meta-kdeedu 16.04-1
kde-meta-kdegames 16.04-1
kde-meta-kdegraphics 16.04-1
kde-meta-kdemultimedia 16.04-1
kde-meta-kdenetwork 16.04-1
kde-meta-kdepim 16.04-1
kde-meta-kdesdk 16.04-1
kde-meta-kdeutils 16.04-1
kde-meta-kdewebdev 16.04-1
kde-syndication 16.04.0-1
kdeaccessibility-jovie 16.04.0-1
kdeaccessibility-kaccessible 16.04.0-1
kdeaccessibility-kmag 16.04.0-1
kdeaccessibility-kmousetool 16.04.0-1
kdeaccessibility-kmouth 16.04.0-1
kdeadmin-kuser 16.04.0-1
kdebase-kdepasswd 16.04.0-1
kdebase-kdialog 16.04.0-1
kdebase-keditbookmarks 16.04.0-1
kdebase-kfind 16.04.0-1
kdebase-konq-plugins 16.04.0-1
kdebase-konqueror 16.04.0-1
kdebase-lib 16.04.0-1
kdebase-runtime 16.04.0-1
kdebindings-python-common 4.14.3-5
kdebindings-python2 4.14.3-5
kdebugsettings 16.04.0-1
kdeclarative 5.21.0-1
kdecoration 5.6.3-1
kded 5.21.0-1
kdeedu-data 16.04.0-1
kdeedu-kalzium 16.04.0-1
kdeedu-ktouch 16.04.0-1
kdegames-kajongg 16.04.0-1
kdegames-kgoldrunner 16.04.0-1
kdegames-kigo 16.04.0-1
kdegames-kolf 16.04.0-1
kdegames-konquest 16.04.0-1
kdegames-kreversi 16.04.0-1
kdegames-ksirk 16.04.0-1
kdegames-ksnakeduel 16.04.0-1
kdegames-kspaceduel 16.04.0-1
kdegames-ksudoku 16.04.0-1
kdegames-kubrick 16.04.0-1
kdegames-lskat 16.04.0-1
kdegames-palapeli 16.04.0-1
kdegraphics-kolourpaint 16.04.0-1
kdegraphics-ksaneplugin 16.04.0-1
kdegraphics-mobipocket 16.04.0-1
kdegraphics-okular 16.04.0-1
kdegraphics-strigi-analyzer 16.04.0-1
kdegraphics-svgpart 16.04.0-1
kdegraphics-thumbnailers 16.04.0-1
kdelibs 4.14.19-1
kdelibs4support 5.21.0-1
kdemultimedia-audiocd-kio 16.04.0-1
kdemultimedia-juk 16.04.0-1
kdemultimedia-kmix 16.04.0-1
kdemultimedia-kscd 16.04.0-1
kdemultimedia-mplayerthumbs 16.04.0-1
kdenetwork-filesharing 16.04.0-1
kdenetwork-kget 16.04.0-1
kdenetwork-kopete 16.04.0-1
kdenetwork-kppp 16.04.0-1
kdenetwork-strigi-analyzers 16.04.0-1
kdenetwork-zeroconf-ioslave 16.04.0-1
kdenlive 16.04.0-2
kdepim-addons 16.04.0-2
kdepim-apps-libs 16.04.0-1
kdepim-common 16.04.0-2
kdepim-runtime 16.04.0-1
kdepimlibs4 4.14.10-7
kdeplasma-addons 5.6.3-1
kdesdk-cervisia 16.04.0-1
kdesdk-dev-utils 16.04.0-1
kdesdk-kcachegrind 16.04.0-1
kdesdk-strigi-analyzers 16.04.0-1
kdesdk-thumbnailers 16.04.0-1
kdesignerplugin 5.21.0-1
kdesu 5.21.0-1
kdeutils-kdf 16.04.0-1
kdeutils-kgpg 16.04.0-1
kdeutils-kremotecontrol 16.04.0-1
kdeutils-sweeper 16.04.0-1
kdevelop 4.7.3-1
kdevplatform 1.7.3-1
kdewebdev-kfilereplace 16.04.0-1
kdewebdev-kimagemapeditor 16.04.0-1
kdewebdev-klinkstatus 16.04.0-1
kdewebdev-kommander 16.04.0-1
kdewebkit 5.21.0-1
kdgantt2 16.04.0-1
kdiamond 16.04.0-1
kdnssd 5.21.0-1
kdoctools 5.21.0-1
kemoticons 5.21.0-1
keyutils 1.5.9-1
kfilemetadata 5.21.0-1
kfloppy 16.04.0-1
kfourinline 16.04.0-1
kgamma5 5.6.3-1
kgeography 16.04.0-1
kglobalaccel 5.21.0-1
kguiaddons 5.21.0-1
khangman 16.04.0-1
khelpcenter 16.04.0-1
kholidays 16.04.0-1
khotkeys 5.6.3-1
khtml 5.21.0-1
ki18n 5.21.0-1
kiconthemes 5.21.0-1
kidentitymanagement 16.04.0-1
kidletime 5.21.0-1
kig 16.04.0-1
killbots 16.04.0-1
kimap 16.04.0-1
kinfocenter 5.6.3-1
kinit 5.21.0-1
kio 5.21.0-1
kio-extras 16.04.0-1
kio-pim 16.04.0-1
kiriki 16.04.0-1
kitemmodels 5.21.0-1
kitemviews 5.21.0-1
kiten 16.04.0-1
kjobwidgets 5.21.0-1
kjs 5.21.0-1
kjsembed 5.21.0-1
kjumpingcube 16.04.0-1
kldap 16.04.0-1
kleopatra 16.04.0-1
klettres 16.04.0-1
klickety 16.04.0-1
klines 16.04.0-1
kmahjongg 16.04.0-1
kmail 16.04.0-2
kmailtransport 16.04.0-1
kmbox 16.04.0-1
kmenuedit 5.6.3-1
kmime 16.04.0-1
kmines 16.04.0-1
kmod 22-1
kmplot 16.04.0-1
knavalbattle 16.04.0-1
knetwalk 16.04.0-1
knewstuff 5.21.0-1
knotes 16.04.0-2
knotifications 5.21.0-1
knotifyconfig 5.21.0-1
kollision 16.04.0-1
kompare 16.04.0-1
konsole 16.04.0-1
konsolekalendar 16.04.0-2
kontact 16.04.0-2
kontactinterface 16.04.0-1
konversation 1.6-2
korganizer 16.04.0-2
kpackage 5.21.0-1
kparts 5.21.0-1
kpatience 16.04.0-1
kpeople 5.21.0-1
kpimtextedit 16.04.0-1
kplotting 5.21.0-1
kpty 5.21.0-1
kqtquickcharts 16.04.0-1
krb5 1.13.2-3
krdc 16.04.0-1
krfb 16.04.0-1
kross 5.21.0-1
kruler 16.04.0-1
krunner 5.21.0-1
kscreen 5.6.3-1
kscreenlocker 5.6.3-1
